page,clicks,impressions,ctr_pct,position
https://sourcesage.ai/blog/kubota-serial-number-parts-lookup/,4,183,2.2,15.7
https://sourcesage.ai/blog/perkins-1104-cylinder-head-malaysia/,4,101,4.0,7.3
https://sourcesage.ai/blog/how-to-identify-your-kubota-tractor-model/,2,208,1.0,10.0
https://sourcesage.ai/blog/kubota-l3408-l3608-parts-malaysia/,2,56,3.6,7.0
https://sourcesage.ai/blog/kubota-v1505-engine-parts-malaysia/,2,41,4.9,8.2
https://sourcesage.ai/,1,68,1.5,5.9
https://sourcesage.ai/perkins-engine-parts-malaysia/,1,16,6.2,25.1
https://sourcesage.ai/zh/,1,5,20.0,2.8
https://sourcesage.ai/about/,0,7,0.0,4.1
https://sourcesage.ai/blog/,0,7,0.0,5.6
https://sourcesage.ai/blog/hard-to-find-tractor-parts-malaysia/,0,162,0.0,8.2
https://sourcesage.ai/blog/how-we-source-vintage-kubota-parts-malaysia/,0,206,0.0,9.6
https://sourcesage.ai/blog/john-deere-tractor-parts-malaysia/,0,123,0.0,10.1
https://sourcesage.ai/blog/kubota-engine-codes-other-brands-malaysia,0,2,0.0,6.5
https://sourcesage.ai/blog/kubota-engine-codes-other-brands-malaysia/,0,91,0.0,9.4
https://sourcesage.ai/blog/kubota-l4400-common-problems-parts-malaysia,0,5,0.0,14
https://sourcesage.ai/blog/kubota-l4400-common-problems-parts-malaysia/,0,42,0.0,8.1
https://sourcesage.ai/blog/kubota-m9000-m9540-parts-malaysia/,0,49,0.0,9.5
https://sourcesage.ai/blog/massey-ferguson-tractor-parts-malaysia/,0,288,0.0,7.6
https://sourcesage.ai/blog/urgent-tractor-spare-parts-malaysia/,0,4,0.0,24.8
https://sourcesage.ai/kubota-tractor-parts-malaysia/,0,10,0.0,11.6
https://sourcesage.ai/massey-ferguson-parts-malaysia/,0,107,0.0,7.8
https://sourcesage.ai/ms/blog/alat-ganti-kubota-l3408-l3608-malaysia/,0,2,0.0,9
https://sourcesage.ai/ms/blog/alat-ganti-traktor-sukar-dicari-malaysia,0,1,0.0,3
https://sourcesage.ai/ms/blog/cara-kami-dapatkan-alat-ganti-kubota-vintaj,0,2,0.0,3
https://sourcesage.ai/ms/blog/cara-kami-dapatkan-alat-ganti-kubota-vintaj/,0,4,0.0,15.2
https://sourcesage.ai/yanmar-marine-parts-malaysia/,0,20,0.0,11.4
https://sourcesage.ai/zh/about/,0,3,0.0,6.3
https://sourcesage.ai/zh/blog/jianding-kubota-tuolaji-xinghao/,0,9,0.0,7.2
https://sourcesage.ai/zh/kubota-tractor-parts-malaysia/,0,7,0.0,4.1
